symbol,imb_time,type,strength,low2,high2
TUTUSDT,2025-08-27 16:00:00+00:00,BUY,3.959802009899511,0.06931,0.07042
TUTUSDT,2025-08-28 04:00:00+00:00,SELL,8.515414546542962,0.06021,0.06113
AINUSDT,2025-08-28 12:00:00+00:00,BUY,5.509413067552606,0.11433,0.12688
SERAPHUSDT,2025-08-28 12:00:00+00:00,BUY,5.7374586963051994,0.176,0.18072
